titulo;descricao;img1;img2;img3;img4;url_origin
Doacao eletrodomestico;"Doa-se: 

- Geladeira que necessita de reparo(Furo na tubulacao na area do congelador). 
- Air Fryer funcionando em perfeito estado, apenas com marcas de uso.";id1_img1.jpg;id1_img2.jpg;id1_img3.jpg;None;https://rj.olx.com.br/norte-do-estado-do-rio/eletrodomesticos/doacao-eletrodomestico-1182773697?lis=listing_5040
Doa se guarda roupa;"Estou doando este guarda roupa

Tem que desmontar e retirar";id2_img1.jpg;id2_img2.jpg;id2_img3.jpg;None;https://sp.olx.com.br/sao-paulo-e-regiao/moveis/doa-se-guarda-roupa-1177576326?rec=a&lis=galeria_adview_relacionados_5040
Doacao sof  branco;"Sof  resistente de boa qualidade. 
Um estofador pode reformar e revender. 
Retirada no fonseca o mais r pido possivel";id3_img1.jpg;None;None;None;https://rj.olx.com.br/rio-de-janeiro-e-regiao/moveis/doacao-1181989345?rec=a&lis=galeria_adview_relacionados_5040
escrivaninha home office - urgente;"Estou doando uma mesa de trabalho ( 100cm de comprimento x 60cm de largura x 75 cm de altura). 
Estrutura de metal leve porem resistente e tampo de mdf. Toda da cor amarela, linda, porem nao cabe mais minhas coisas. 
Tem apenas algumas marcas de uso no tampo, mas facilmente se esconde com aplica‡Æo de papel contact. 
 Frete por conta de quem vier buscar. Cabe no elevador por isso nao precisa desmontar. 
Pegou, levou. 
Preferencia pra quem vier buscar primeiro.";id4_img1.jpg;None;None;None;https://rj.olx.com.br/rio-de-janeiro-e-regiao/moveis/doacao-de-escrivaninha-home-office-urgente-1174538681?rec=a&lis=galeria_adview_relacionados_5040
Doacao armario;"Guarda roupa com seis portas 6 e 6 gavetas 
Obs: nao entrego e desmontagem por conta do interessado";id5_img1.jpg;id5_img2.jpg;id5_img3.jpg;None;https://sp.olx.com.br/sao-paulo-e-regiao/moveis/doacao-armario-1183338590?lis=listing_5020
Gabinete com tampo;"Gabinete com tampo,
 1.06 de comprimento x 0.46 de profundidade x 0.70 de altura. 
… retirar";id6_img1.jpg;None;None;None;https://sp.olx.com.br/baixada-santista-e-litoral-sul/moveis/gabinete-com-tampo-para-doacao-1183110557?lis=listing_5020
Ventilador;"Doacao de ventilador, tem uns bons anos de uso mas funciona perfeitamente, pode ser util para alguem. 
Retirar no local.";id7_img1.jpg;id7_img2.jpg;None;None;https://sc.olx.com.br/florianopolis-e-regiao/eletrodomesticos/doacao-1183261029?lis=listing_5040
Aspirador e Monitor;Ambos estao funcionando.;id8_img1.jpg;id8_img2.jpg;id8_img3.jpg;None;https://rj.olx.com.br/rio-de-janeiro-e-regiao/eletrodomesticos/doacao-aspirador-e-monitor-1181753665?lis=listing_5040
Doacao Fogao Continental 4 bocas;Doacao Fogao Continental 4 bocas Precisa de limpeza nos acendedores;id9_img1.jpg;id9_img2.jpg;id9_img3.jpg;None;https://ba.olx.com.br/grande-salvador/eletrodomesticos/doacao-fogao-continental-4-bocas-1181349323?lis=listing_5040
2 Impressoras HP OfficeJet Pro 8000 e Deskjet 2545;"Hp Pro 8000 Wireless Deskjet Ink Advantage 2545
Sem Fontes 
Retirar no local";id10_img1.jpg;id10_img2.jpg;None;None;https://rj.olx.com.br/rio-de-janeiro-e-regiao/computadores-e-acessorios/doacao-2-impressoras-hp-officejet-pro-8000-e-deskjet-2545-1179672920?lis=listing_3040
Monitor de Video LG - 710E (tubo);Monitor de Video LG - 710E (tubo), pouco uso e em bom estado;id11_img1.jpg;None;None;None;https://sp.olx.com.br/regiao-de-ribeirao-preto/computadores-e-acessorios/monitor-de-video-lg-710e-tubo-1172726910?lis=listing_3040
Bicicleta aro 26;Motivo da doacao : nao iria conseguir vender por um pre‡o consideravel e tenho que me mudar pra outra cidade;id12_img1.jpg;None;None;None;https://sp.olx.com.br/regiao-de-bauru-e-marilia/ciclismo/doa-se-bicicleta-aro-26-1183557096?lis=listing_6060
Bicicleta Caloi;"Me mudei a pouco tempo, Estou sem espaco pra guarda a bicicleta. 
Quem realmente estiver precisando me ligue entrego em qualquer lugar.";id13_img1.jpg;None;None;None;https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/ciclismo/doa-ce-bicicleta-1183169924?lis=listing_6060
Macaquinho Preto;Estou doando macaquinho usado. Precisa trocar o ziper.;id14_img1.jpg;id14_img2.jpg;None;None;https://pe.olx.com.br/grande-recife/roupas-e-calcados/doacao-1183481479?lis=listing_8040
Sapatenis;Posso entregar em locais proximos;id15_img1.jpg;id15_img2.jpg;None;None;https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/roupas-e-calcados/doacao-tenis-1183229173?lis=listing_8040
uniforme Colegio Dr Xavier da Silva;"Doacao de 2 cal‡as e 3 camisetas Adolescente P do Col‚gio Dr Xavier da Silva 
Nao entregamos 
Precisa vir buscar";id16_img1.jpg;None;None;None;https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/roupas-e-calcados/doacao-de-uniforme-colegio-dr-xavier-da-silva-1182145505?lis=listing_8040
3 sacolas de roupas femininas;"Estao bem usadas, mas para quem tem necessidade ja ajuda bastante. 
A maioria e tamanho P. Mas tem outras pecas maiores tbm. 
Nao pode escolher peca, tem que levar as 3 sacolas.";id17_img1.jpg;None;None;None;https://rj.olx.com.br/rio-de-janeiro-e-regiao/roupas-e-calcados/doacao-de-3-sacolas-de-roupas-femininas-1181273884?lis=listing_8040
calcados tamanho 33 e 34;"Tenis preto modelo slip on tamanho 33 marca Knurz (sem palmilha)

Tenis pintado marrom tamanho 33 marca Molekinha

Sapatinho bege tamanho 34 marca Moleca (sem palmilha e cadarco cortado na ponta).

Estao em boas condicoes, precisam apenas de palmilha.

Retirar no local";id18_img1.jpg;None;None;None;https://sp.olx.com.br/sao-paulo-e-regiao/roupas-e-calcados/doacao-de-calcados-tamanho-33-e-34-1178808895?lis=listing_8040
Casacos femininos Tam unico veste Tam 42/44 pegar bairro do Angela zona sul;Retirada no local!;id19_img1.jpg;None;None;None;https://sp.olx.com.br/sao-paulo-e-regiao/roupas-e-calcados/doacao-casacos-femininos-tam-unico-veste-tam-42-44-pegar-bairro-do-angela-zona-sul-1182229409?lis=listing_8040
Calcas Moletom;Calcas quentinhas para o inverno TAM M;id20_img1.jpg;None;None;None;https://sc.olx.com.br/florianopolis-e-regiao/roupas-e-calcados/doacao-1180732831?lis=listing_8040
Livros de Artesanato;"Estou doando livros maravilhosos de artesanato. 
Alguns ja mais antigos, mas os conteudos sao riquissimos
Quero liberar espaco e doar pra quem ira realmente aproveitar o conhecimento.";id21_img1.jpg;None;None;None;https://pb.olx.com.br/paraiba/livros-e-revistas/doacao-livros-de-artesanato-1180853021?lis=listing_11060
doacao material vestibular;Doacao de material para vestibular, sao todos as apostilas do COC em bom estado. Retirada no local.;id22_img1.jpg;None;None;None;https://sc.olx.com.br/florianopolis-e-regiao/livros-e-revistas/faco-doacao-material-vestibular-1180709866?lis=listing_11060
Lote 7 bonecas ;"Lote com 7 bonecas, sendo duas de pano 
Todas estÆo conservadas. ";id23_img1.jpg;id23_img2.jpg;None;None;https://rj.olx.com.br/rio-de-janeiro-e-regiao/artigos-infantis/lote-com-7-bocas-1-para-doacao-1172263972?lis=listing_9020
fogao para crianca com utensilios ( panelinhas , talheres , pratos etc...);Doa-se fogao para crian‡a usado.;id24_img1.jpg;None;None;None;https://sp.olx.com.br/sao-paulo-e-regiao/artigos-infantis/doa-se-fogao-para-crianca-utensilios-panelinhas-talheres-pratos-etc-1173209991?lis=listing_9020
Velotrol infantilÿ;velotrol, com suporte para crianca apoiar os pes e depois da pra tirar e destravar o pedal e ela pode brincar de pedalar.;id25_img1.jpg;None;None;None;https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/artigos-infantis/velotrol-infantil-favor-ler-todo-anuncio-1183368949?lis=listing_9020
Lousa magica colorida;"Lousa magica colorida
Dimensao de 11 centimetros.";id26_img1.jpg;None;None;None;https://sp.olx.com.br/grande-campinas/artigos-infantis/lousa-magica-colorida-1151522848?lis=listing_9020
